City,month,transaction_value_thousand_sar,weekly_obs,group_key,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_3,rolling_std_3,rolling_6,rolling_std_6,rolling_12,rolling_std_12,month_num,month_sin,month_cos,year,trend_months
Buraidah,2021-10-01,1154150.0,5,buraidah,944996.0,1132761.0,880083.0,918088.0,802475.0,985946.6666666666,131222.18084734495,986245.3333333334,117627.05683245952,961966.5,113062.48950148202,10,-0.8660254037844386,0.5000000000000001,2021,22
Buraidah,2021-11-01,981077.0,4,buraidah,1154150.0,944996.0,1132761.0,1138484.0,1050511.0,1077302.3333333333,115078.65445135042,1025589.0,129181.75788864306,991272.75,113540.17129963303,11,-0.5000000000000004,0.8660254037844384,2021,23
Buraidah,2021-12-01,962351.0,4,buraidah,981077.0,1154150.0,944996.0,903060.0,887983.0,1026741.0,111804.5151190236,999354.5,117086.44330877931,985486.5833333334,112005.7230051283,12,-2.4492935982947064e-16,1.0,2021,24
Buraidah,2022-01-01,1241534.0,5,buraidah,962351.0,981077.0,1154150.0,880083.0,1076687.0,1032526.0,105744.80507807453,1009236.3333333334,109596.44203653083,991683.9166666666,108110.01341769529,1,0.49999999999999994,0.8660254037844387,2022,25
Buraidah,2022-02-01,965796.0,4,buraidah,1241534.0,962351.0,981077.0,1132761.0,835974.0,1061654.0,156061.77164507643,1069478.1666666667,122934.17105331885,1005421.1666666666,128452.50998208243,2,0.8660254037844386,0.5000000000000001,2022,26
Buraidah,2022-03-01,1141290.0,4,buraidah,965796.0,1241534.0,962351.0,944996.0,972496.0,1056560.3333333333,160201.15488451795,1041650.6666666666,124629.93879107323,1016239.6666666666,117919.02181453587,3,1.0,6.123233995736766e-17,2022,27
Buraidah,2022-04-01,1098774.0,4,buraidah,1141290.0,965796.0,1241534.0,1154150.0,918088.0,1116206.6666666667,139569.84405427022,1074366.3333333333,119855.82280501291,1030305.8333333334,122215.77257221859,4,0.8660254037844387,-0.4999999999999998,2022,28
Buraidah,2022-05-01,1201987.0,5,buraidah,1098774.0,1141290.0,965796.0,981077.0,1138484.0,1068620.0,91550.44399673867,1065137.0,114495.68416669682,1045363.0,118197.85962990584,5,0.49999999999999994,-0.8660254037844387,2022,29
Buraidah,2022-06-01,1074645.0,4,buraidah,1201987.0,1098774.0,1141290.0,962351.0,903060.0,1147350.3333333333,51872.69582673836,1101955.3333333333,117536.89577943881,1050654.9166666667,124024.03666698748,6,1.2246467991473532e-16,-1.0,2022,30
Buraidah,2022-07-01,1302967.0,5,buraidah,1074645.0,1201987.0,1098774.0,1241534.0,880083.0,1125135.3333333333,67640.12242991076,1120671.0,98213.47839884298,1064953.6666666667,115025.44858210796,7,-0.4999999999999997,-0.8660254037844388,2022,31
