Starting date;Indicator;Sectors;City;value (Multiple units)
2025-06-22;Value of Transactions (In Thousand SAR);Total;OTHER;3931670.0
2025-06-22;Value of Transactions Change %;Total;HAIL;41.54704844381594
2025-06-22;Value of Transactions (In Thousand SAR);Health;Total;839976.0
2025-06-22;Value of Transactions (In Thousand SAR);Public Utilities;Total;52296.0
2025-06-22;Value of Transactions (In Thousand SAR);Transportation;Total;746012.0
2025-06-22;Value of Transactions Change %;Jewelry;Total;34.729777220914954
2025-06-22;Value of Transactions Change %;Transportation;Total;18.66606221119356
2025-06-22;Number of Transactions (In Thousand);Total;HAIL;3958.0
2025-06-22;Number of Transactions (In Thousand);Clothing and Footwear;Total;6182.0
2025-06-22;Number of Transactions (In Thousand);Electronic & Electric Devices;Total;1609.0
2025-06-22;Number of Transactions (In Thousand);Furniture;Total;1274.0
2025-06-22;Number of Transactions (In Thousand);Miscellaneous Goods and Services;Total;22442.0
2025-06-22;Number of Transactions (In Thousand);Restaurants & Café;Total;59806.0
2025-06-22;Number of Transactions (In Thousand);Transportation;Total;2895.0
2025-06-22;Number of Transactions (In Thousand);Total;MAKKAH;8176.0
2025-06-22;Number of Transactions (In Thousand);Total;DAMMAM;8922.0
2025-06-22;Number of Transactions (In Thousand);Total;OTHER;75716.0
2025-06-22;Number of Transactions Change %;Total;DAMMAM;6.9015097052480225
2025-06-22;Value of Transactions (In Thousand SAR);Total;HAIL;226212.0
2025-06-22;Value of Transactions Change %;Total;TABOUK;36.88020997168921
2025-06-22;Value of Transactions Change %;Total;ABHA;37.55441903715288
2025-06-22;Value of Transactions Change %;Total;RIYADH;19.745014485024214
2025-06-22;Value of Transactions (In Thousand SAR);Jewelry;Total;352701.0
2025-06-22;Value of Transactions (In Thousand SAR);Recreation and Culture;Total;294652.0
2025-06-22;Value of Transactions (In Thousand SAR);Total;Total;13615757.0
2025-06-22;Value of Transactions Change %;Recreation and Culture;Total;49.298229613190244
2025-06-22;Number of Transactions (In Thousand);Total;BURAIDAH;5044.0
